OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,GIS_ACRES,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS,SHAPE_Length,SHAPE_Area
10287,1976,CA,NPS,YNP,0000000000000YV9, ,,,,0,101.48309,,,,3518.01432212035,657553.56348036
10288,1976,CA,NPS,YNP,0000000000000YV2, ,,,,0,26.575588,,,,1765.62685781723,172164.248744563
10289,1977,CA,CDF,SHU,0000000000000109,PUBLISHERS,,1977/07/24 00:00:00+00,,0,1072.0765,,,,18143.6878798245,7599103.65217496
10290,1977,CA,NPS,YNP,0000000000Merced, ,,,,0,43.329357,,,,2877.04642447604,280938.810257566
10291,1977,CA,USF,SRF,0000000000100521, ,,1977/02/07 00:00:00+00,,0,7.9661946,,,,837.828123278676,55717.6853733801
10292,1978,CA,CCO,VNC,0000000000000000,NEWHALL CONTROLLED B,,1978/11/01 00:00:00+00,,0,984.70197,,,,12731.1978755585,5857987.33402719
10293,1978,CA,CCO,LAC,0000000000000000,PRESCRIBED FIRE,,,,0,72.26059,,,,8070.08330290584,432095.552921076
10296,1991,CA,NPS,KNP,0000000000000062,GRANT WES,,1991/10/25 00:00:00+00,1991/11/17 00:00:00+00,50,33.138996,2,,,2773.67670009414,209309.531754735
10297,1991,CA,NPS,KNP,0000000000000003,SUWANEE,,1991/01/01 00:00:00+00,1991/02/20 00:00:00+00,100,124.11944,2,,,4935.74981378708,780659.107600609
10298,1991,CA,NPS,KNP,0000000000000048,SUWANEE,,1991/11/12 00:00:00+00,1991/12/31 00:00:00+00,60,65.841179,2,,,14063.5633800987,414095.022680007
10299,1991,CA,NPS,KNP,0000000000000042,PRESIDENT,,1991/08/19 00:00:00+00,1991/10/16 00:00:00+00,6,6.0060811,2,,,897.814727845691,37761.0867840858
10300,1991,CA,NPS,KNP,0000000000000074,THARPS IV,,1991/09/25 00:00:00+00,1991/12/29 00:00:00+00,23,18.462667,2,,,1645.07669360757,116066.826564103
10301,1991,CA,NPS,KNP,0000000000000060,AMPHITHEA,,1991/09/10 00:00:00+00,1991/12/06 00:00:00+00,19,13.791256,2,,,2317.97648239272,86600.2702256222
10303,1991,CA,NPS,KNP,0000000000000004,ASH MTN,,1991/05/30 00:00:00+00,1991/06/29 00:00:00+00,15,2.2241545,2,,,1494.11978326091,13951.8224925692
